index,current_time,crawled_at,pressure,country,wind_direction,sky,uniq_id,visibility,temparature,dev_point,place,location,data_category,latest_report,wind,forecast,feels_like,index_date_format
183,"19 Jan 2020, 11:06:47",Sun Jan 19 15:36:48 2020, 1033 mbar,Austria, from West,Low clouds.,a3d9ab22-4f81-5010-9c17-6811e76f9ff4, 12 km,2 °C, 1 °C," Weather in Amstetten, Lower Austria, Austria",Linz / Hoersching-Flughafen,weather," 19 Jan 2020, 10:00",9 km/h ,2 / -3 °C,-1 °C,2020.01.19
184,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:48 2020, 1020 mbar,Algeria, from East,Light rain. Broken clouds.,661e0ccc-6874-5bd9-ab4d-085ae6affddb, 6 km,6 °C, 4 °C," Weather in M'sila, Algeria",Bou-Saada,weather," 19 Jan 2020, 10:00",6 km/h ,13 / 7 °C,5 °C,2020.01.19
185,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:48 2020, N/A,Algeria, from East,Sunny.,4f8a16ff-aef5-5df2-af3e-81b7ba5a1152, 30 km,15 °C, -11 °C," Weather in Tamanrasset, Algeria",Tamanrasset,weather," 19 Jan 2020, 10:00",15 km/h ,19 / 6 °C,14 °C,2020.01.19
186,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:48 2020, 1023 mbar,Algeria,na,Sunny.,e8ebcd1a-aec0-51a5-8c59-461e90faae76, 16 km,9 °C, 0 °C," Weather in Ouargla, Algeria",Ouargla Airport,weather," 19 Jan 2020, 10:00",,21 / 5 °C,,2020.01.19
187,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:48 2020, 1034 mbar ,Austria, from North,Low clouds.,c5ef9bd2-f24a-5540-b97a-2b8f3834de3a, 6 km,0 °C, 0 °C," Weather in Innsbruck, Tyrol, Austria",Innsbruck-Flughafen,weather," 19 Jan 2020, 10:00",4 km/h ,-2 / -8 °C,0 °C,2020.01.19
188,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:48 2020, 1022 mbar ,Algeria, from Southwest,Sunny.,2b47dcfc-ddb7-5cd9-9af2-997e50e557db, 16 km,9 °C, -8 °C," Weather in Béchar, Algeria",Bechar Airport,weather," 19 Jan 2020, 10:00",6 km/h ,12 / 4 °C,8 °C,2020.01.19
189,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:48 2020, 1022 mbar,Algeria, from West,Sunny.,fbaa390c-da7d-5ba8-9ab5-d110321e48f7, 16 km,14 °C, 4 °C," Weather in In Salah, Algeria",In Salah North,weather," 19 Jan 2020, 10:00",6 km/h ,25 / 5 °C,14 °C,2020.01.19
190,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:48 2020, 1019 mbar ,Algeria, from Southeast,Scattered clouds.,7206104e-6990-5860-9dba-68781ad3fbc7, N/A,9 °C, 2 °C," Weather in Constantine, Algeria",Constantine Airport,weather," 19 Jan 2020, 10:30",9 km/h ,14 / 5 °C,8 °C,2020.01.19
191,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:49 2020, 1023 mbar,Algeria, from South,Sunny.,004bff30-862a-500d-b03b-0fa146083355, 16 km,9 °C, -1 °C," Weather in Hassi Messaoud, Algeria",Hassi-Messaoud,weather," 19 Jan 2020, 10:30",15 km/h ,22 / 5 °C,7 °C,2020.01.19
192,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:49 2020, 1015 mbar,Algeria, from South,Rain. Overcast.,6c3cd44b-6cf5-5b80-af28-151968452f95, 7 km,13 °C, 11 °C," Weather in Algiers, Algeria",Alger-Port,weather," 19 Jan 2020, 10:00",4 km/h ,14 / 9 °C,13 °C,2020.01.19
193,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:49 2020, 1016 mbar,Algeria, from Southwest,Scattered clouds.,02ba6ade-31cf-5b98-8dcd-e56b20be572a, N/A,13 °C, 12 °C," Weather in Oran, Algeria",Oran / Es Senia,weather," 19 Jan 2020, 10:30",13 km/h ,12 / 7 °C,12 °C,2020.01.19
194,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:49 2020, 1022 mbar ,Algeria, from Southwest,Scattered clouds.,7128d930-b8f7-50c3-98d7-fea9c5f5bc63, N/A,11 °C, -5 °C," Weather in Ghardaïa, Algeria",Ghardaia Airport,weather," 19 Jan 2020, 10:00",13 km/h ,16 / 4 °C,9 °C,2020.01.19
195,"19 Jan 2020, 06:06:48",Sun Jan 19 15:36:49 2020, 1015 mbar,Barbados, from East,Passing clouds.,618afc83-3822-512c-8d03-ff9340d850dc, N/A,25 °C, 18 °C," Weather in Bridgetown, Barbados",Grantley Adams,weather," 19 Jan 2020, 05:00",32 km/h ,29 / 25 °C,26 °C,2020.01.19
196,"19 Jan 2020, 11:06:48",Sun Jan 19 15:36:49 2020, 1023 mbar,Algeria, from Northeast,Sunny.,58f4819a-a71f-55a3-bed3-10be3f9bbee3, 16 km,8 °C, -2 °C," Weather in Adrar, Algeria",Adrar Airport,weather," 19 Jan 2020, 10:00",7 km/h ,23 / 5 °C,7 °C,2020.01.19
197,"19 Jan 2020, 07:06:48",Sun Jan 19 15:36:49 2020, 1013 mbar,Argentina, from Northeast,Passing clouds.,98fe19cc-8da1-5772-82b3-df65cb8a0398, N/A,25 °C, 17 °C," Weather in Zárate, Buenos Aires, Argentina",Buenos Aires Airport,weather," 19 Jan 2020, 06:00",7 km/h ,35 / 19 °C,26 °C,2020.01.19
198,"19 Jan 2020, 07:06:48",Sun Jan 19 15:36:49 2020, 999 mbar,Argentina, from West,Partly sunny.,31a9739c-9b28-535b-9c29-3c5a68fc0724, N/A,12 °C, 3 °C," Weather in Río Gallegos, Santa Cruz, Argentina",Rio Gallegos Aerodrome,weather," 19 Jan 2020, 06:00",17 km/h ,17 / 11 °C,10 °C,2020.01.19
199,"19 Jan 2020, 07:06:49",Sun Jan 19 15:36:49 2020, 1012 mbar,Argentina, from East,Clear.,fbb195af-413e-525a-a52d-c7fab22c4315, 12 km,18 °C, 16 °C," Weather in Junín, Buenos Aires, Argentina",Junin Aerodrome,weather," 19 Jan 2020, 06:00",7 km/h ,36 / 19 °C,18 °C,2020.01.19
200,"19 Jan 2020, 07:06:49",Sun Jan 19 15:36:49 2020, 1008 mbar,Argentina, from Northeast,Clear.,881c317b-ffe9-5a77-b8ec-99f8665793a0, 30 km,19 °C, 17 °C," Weather in Viedma, Rio Negro, Argentina",Viedma Aerodrome,weather," 19 Jan 2020, 06:00",9 km/h ,36 / 18 °C,19 °C,2020.01.19
201,"19 Jan 2020, 07:06:49",Sun Jan 19 15:36:49 2020, 1010 mbar,Argentina, from East,Clear.,5346561a-3269-5783-bff9-972f5f6b3c32, 16 km,26 °C, 26 °C," Weather in Resistencia, Chaco, Argentina",Resistencia Aero.,weather," 19 Jan 2020, 06:00",7 km/h ,36 / 26 °C,28 °C,2020.01.19
202,"19 Jan 2020, 07:06:49",Sun Jan 19 15:36:49 2020, 1015 mbar ,Argentina, from Northwest,Mostly cloudy.,d17df167-2538-57e4-b241-c48b8a34d49c, N/A,21 °C, 20 °C," Weather in Jujuy, Jujuy, Argentina",Jujuy Aerodrome,weather," 19 Jan 2020, 06:00",9 km/h ,31 / 20 °C,21 °C,2020.01.19
203,"19 Jan 2020, 07:06:49",Sun Jan 19 15:36:49 2020, 992 mbar,Argentina, from Southwest,Drizzle. Mostly cloudy.,00efa8e7-83bd-5a7c-add0-9af4bc376605, N/A,8 °C, 6 °C," Weather in Ushuaia, Tierra del Fuego, Argentina",Ushuaia Aerodrome,weather," 19 Jan 2020, 06:00",22 km/h ,10 / 7 °C,5 °C,2020.01.19
204,"19 Jan 2020, 14:06:49",Sun Jan 19 15:36:49 2020, N/A,Armenia, from Northwest,Partly sunny.,40015980-71a4-5b66-946d-d72b3092b61a, 10 km,-4 °C, -4 °C," Weather in Vanadzor, Armenia",Ashotsk,weather," 19 Jan 2020, 13:00",2 km/h ,-1 / -8 °C,-4 °C,2020.01.19
205,"19 Jan 2020, 14:06:49",Sun Jan 19 15:36:49 2020, 1024 mbar ,Armenia,na,Fog.,2771b5ff-7f46-5c56-8f8b-bdc2cc2a8021, 5 km,-2 °C, -4 °C," Weather in Yerevan, Armenia",Makko,weather," 19 Jan 2020, 13:00",No wind,2 / -4 °C,-2 °C,2020.01.19
206,"19 Jan 2020, 14:06:49",Sun Jan 19 15:36:49 2020, 1024 mbar ,Armenia,na,Fog.,e84eaeba-80db-5eab-a9c5-09a9de832c9c, 5 km,-2 °C, -4 °C," Weather in Yeghegnadzor, Armenia",Makko,weather," 19 Jan 2020, 13:00",No wind,-1 / -10 °C,-2 °C,2020.01.19
207,"19 Jan 2020, 14:06:49",Sun Jan 19 15:36:49 2020, N/A,Armenia, from Northwest,Partly sunny.,e8b7d658-79b2-5cb6-b855-300715547937, 10 km,-4 °C, -4 °C," Weather in Gyumri, Armenia",Ashotsk,weather," 19 Jan 2020, 13:00",2 km/h ,-1 / -7 °C,-4 °C,2020.01.19
208,"19 Jan 2020, 07:06:49",Sun Jan 19 15:36:49 2020, 1007 mbar,Argentina,na,Haze.,f6bafad5-1b7d-5936-b43c-52c958c59d74, 8 km,15 °C, 13 °C," Weather in Rawson, Chubut, Argentina",Trelew Aerodrome,weather," 19 Jan 2020, 06:00",No wind,26 / 14 °C,15 °C,2020.01.19
209,"19 Jan 2020, 07:06:49",Sun Jan 19 15:36:50 2020, 1012 mbar,Argentina, from East,Passing clouds.,fb80c826-2800-57d2-b80b-39d5d5669190, 15 km,22 °C, 17 °C," Weather in Gualeguaychú, Entre Rios, Argentina",Gualeguaychu Aerodrome,weather," 19 Jan 2020, 06:00",7 km/h ,34 / 21 °C,23 °C,2020.01.19
210,"19 Jan 2020, 07:06:49",Sun Jan 19 15:36:50 2020, 1011 mbar,Argentina, from West,Clear.,983255b7-e65f-52cd-b3b6-63aa4fbf1a18, 16 km,22 °C, 21 °C," Weather in Tucumán, Tucumán, Argentina",Tucuman Aerodrome,weather," 19 Jan 2020, 06:00",4 km/h ,36 / 23 °C,20 °C,2020.01.19
211,"19 Jan 2020, 07:06:49",Sun Jan 19 15:36:50 2020, 1004 mbar,Argentina, from West,Partly sunny.,9645fc99-5d62-5df1-9808-97917dcd1c43, 30 km,14 °C, 6 °C," Weather in Puerto Deseado, Santa Cruz, Argentina",Puerto Deseado Aerodrome,weather," 19 Jan 2020, 06:00",24 km/h ,20 / 13 °C,12 °C,2020.01.19
212,"19 Jan 2020, 07:06:49",Sun Jan 19 15:36:50 2020, 1011 mbar,Argentina,na,Clear.,38a36148-dfea-580b-8178-a1776ae55b13, 16 km,27 °C, 25 °C," Weather in Formosa, Formosa, Argentina",Formosa Aerodrome,weather," 19 Jan 2020, 06:00",No wind,38 / 26 °C,31 °C,2020.01.19
213,"19 Jan 2020, 07:06:49",Sun Jan 19 15:36:50 2020, 1014 mbar,Argentina, from Southeast,Passing clouds.,ac910205-0304-5508-9426-9ce980a8cdfa, 15 km,14 °C, 13 °C," Weather in Tandil, Buenos Aires, Argentina",Tandil Aerodrome,weather," 19 Jan 2020, 06:00",4 km/h ,34 / 16 °C,14 °C,2020.01.19
214,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:50 2020, 1012 mbar,Argentina, from Southeast,Passing clouds.,1d50ef32-31b1-5aed-b628-208a6046ea1b, 20 km,26 °C, 24 °C," Weather in Posadas, Misiones, Argentina",Posadas Aero.,weather," 19 Jan 2020, 06:00",4 km/h ,37 / 24 °C,27 °C,2020.01.19
215,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:50 2020, 1009 mbar,Argentina,na,Passing clouds.,bbd9a66f-1e2d-5cd2-9764-10b8be378445, 10 km,24 °C, 23 °C," Weather in Santiago del Estero, Santiago del Estero, Argentina",Santiago Del Estero Aero.,weather," 19 Jan 2020, 06:00",No wind,37 / 25 °C,24 °C,2020.01.19
216,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:50 2020, 1012 mbar,Argentina, from East,Overcast.,e50d5486-c9a7-5f46-8e02-34b0495108d4, 12 km,24 °C, 20 °C," Weather in Paraná, Entre Rios, Argentina",Sauce Viejo Aerodrome,weather," 19 Jan 2020, 06:00",7 km/h ,35 / 22 °C,25 °C,2020.01.19
217,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:50 2020, 1010 mbar,Argentina, from East,Clear.,1d2b72fa-e53e-59ed-b5a0-5cf3d2d302bc, 16 km,26 °C, 26 °C," Weather in Corrientes, Corrientes, Argentina",Resistencia Aero.,weather," 19 Jan 2020, 06:00",7 km/h ,35 / 25 °C,28 °C,2020.01.19
218,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:50 2020, 1010 mbar,Argentina, from North,Passing clouds.,56cfe22f-15ef-5291-96b3-f296678461c7, 30 km,20 °C, 18 °C," Weather in Santa Rosa, La Pampa, Argentina",Santa Rosa Aerodrome,weather," 19 Jan 2020, 06:00",17 km/h ,37 / 19 °C,20 °C,2020.01.19
219,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:50 2020, 1005 mbar,Argentina, from Southeast,Clear.,cde3e585-e32b-5882-aa0b-2acf7fda88c8, 15 km,25 °C, 15 °C," Weather in Neuquén, Neuquén, Argentina",Neuquen Aerodrome,weather," 19 Jan 2020, 05:00",4 km/h ,29 / 9 °C,26 °C,2020.01.19
220,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:50 2020, 1009 mbar ,Argentina,na,Clear.,b0d1a796-25d6-55a2-9bf4-8fe4aa9097d4, 16 km,23 °C, 16 °C," Weather in Mendoza, Mendoza, Argentina",Mendoza Aerodrome,weather," 19 Jan 2020, 06:00",No wind,36 / 22 °C,24 °C,2020.01.19
221,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:50 2020, 1012 mbar,Argentina, from East,Overcast.,98f09634-6d76-541f-96fe-0005a54e6176, 12 km,24 °C, 20 °C," Weather in Santa Fe, Santa Fe, Argentina",Sauce Viejo Aerodrome,weather," 19 Jan 2020, 06:00",7 km/h ,36 / 22 °C,25 °C,2020.01.19
222,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:50 2020, 1006 mbar,Argentina, from West,Clear.,e332d765-77b4-5bd1-b4e7-d8626ad9f07e, 16 km,18 °C, 2 °C," Weather in Comodoro Rivadavia, Chubut, Argentina",Comodoro Rivadavia Aerodrome,weather," 19 Jan 2020, 06:00",30 km/h ,27 / 17 °C,18 °C,2020.01.19
223,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:51 2020, 1005 mbar ,Argentina,na,Passing clouds.,d88cdb56-6071-549f-a57d-8349deda3ecf, 15 km,23 °C, 16 °C," Weather in San Juan, San Juan, Argentina",San Juan Aerodrome,weather," 19 Jan 2020, 06:00",No wind,39 / 24 °C,25 °C,2020.01.19
224,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:51 2020, 1014 mbar,Argentina, from Northwest,Sunny.,4ec569ec-828d-5cc7-a24a-76d3230dfc5c, 10 km,16 °C, 14 °C," Weather in Mar del Plata, Buenos Aires, Argentina",Mar Del Plata Aerodrome,weather," 19 Jan 2020, 06:00",9 km/h ,30 / 16 °C,16 °C,2020.01.19
225,"19 Jan 2020, 07:06:51",Sun Jan 19 15:36:51 2020, 1017 mbar ,Argentina,na,Clear.,a0ab1d81-2dab-58c8-af5e-93fcd36c68ce, 16 km,19 °C, 18 °C," Weather in Salta, Salta, Argentina",Salta Aerodrome,weather," 19 Jan 2020, 06:00",No wind,31 / 18 °C,19 °C,2020.01.19
226,"19 Jan 2020, 07:06:50",Sun Jan 19 15:36:51 2020, 1013 mbar,Argentina, from Northeast,Passing clouds.,f4df0af8-527f-5628-9e41-c910c2775f5d, N/A,25 °C, 17 °C," Weather in Buenos Aires, Argentina",Buenos Aires Airport,weather," 19 Jan 2020, 06:00",7 km/h ,29 / 22 °C,26 °C,2020.01.19
227,"19 Jan 2020, 07:06:51",Sun Jan 19 15:36:51 2020, 1010 mbar ,Argentina, from Southwest,Passing clouds.,532f5650-d9d2-51c0-a8b5-012cae53b27e, 30 km,10 °C, 1 °C," Weather in Esquel, Chubut, Argentina",Esquel Aerodrome,weather," 19 Jan 2020, 06:00",19 km/h ,25 / 6 °C,8 °C,2020.01.19
228,"19 Jan 2020, 07:06:51",Sun Jan 19 15:36:51 2020, 1006 mbar ,Argentina, from Southwest,Clear.,d8a26226-0bd3-5424-b234-a1070e3c34cf, 20 km,27 °C, 19 °C," Weather in La Rioja, La Rioja, Argentina",La Rioja Aero.,weather," 19 Jan 2020, 05:00",13 km/h ,35 / 21 °C,28 °C,2020.01.19
229,"19 Jan 2020, 07:06:51",Sun Jan 19 15:36:51 2020, 1012 mbar,Argentina, from East,Clear.,56a9d515-0348-53f2-ac2a-11bafa4ccce9, 12 km,18 °C, 16 °C," Weather in Bragado, Buenos Aires, Argentina",Junin Aerodrome,weather," 19 Jan 2020, 06:00",7 km/h ,36 / 19 °C,18 °C,2020.01.19
230,"19 Jan 2020, 07:06:51",Sun Jan 19 15:36:51 2020, 993 mbar,Argentina, from Northwest,Sunny.,bbc7bac5-c58d-58ef-9d35-b6f7556b105e, 16 km,9 °C, 6 °C," Weather in Río Grande, Tierra del Fuego, Argentina",Rio Grande B. A.,weather," 19 Jan 2020, 06:00",30 km/h ,13 / 9 °C,5 °C,2020.01.19
231,"19 Jan 2020, 07:06:51",Sun Jan 19 15:36:51 2020, 1013 mbar,Argentina, from Southeast,Partly sunny.,352303b3-2784-55a7-afcf-8dd17e558063, 10 km,21 °C, 19 °C," Weather in La Plata, Buenos Aires, Argentina",Ezeiza Aerodrome,weather," 19 Jan 2020, 06:00",4 km/h ,32 / 20 °C,21 °C,2020.01.19
232,"19 Jan 2020, 07:06:51",Sun Jan 19 15:36:51 2020, N/A,Argentina, from South,Clear.,8be2e662-4719-5b24-8873-e5043d0b4587, 10 km,8 °C, -1 °C," Weather in Bariloche, Rio Negro, Argentina",Bariloche Aerodrome,weather," 19 Jan 2020, 06:00",7 km/h ,29 / 11 °C,7 °C,2020.01.19
233,"19 Jan 2020, 21:06:51",Sun Jan 19 15:36:51 2020, 1001 mbar,Australia, from West,Warm.,f80ca1d2-34db-5838-b563-c38e9f0ea70b, N/A,26 °C, 14 °C," Weather in Wodonga, Victoria, Australia",Albury Aeroport Aws,weather," 19 Jan 2020, 19:00",7 km/h ,23 / 17 °C,27 °C,2020.01.19
234,"19 Jan 2020, 21:06:51",Sun Jan 19 15:36:51 2020, 1004 mbar,Australia, from Southwest,Mostly cloudy.,07b869a9-f3b6-5cd0-b62e-74b2efe424b1, N/A,20 °C, 18 °C," Weather in Dubbo, New South Wales, Australia",Dubbo Airport,weather," 19 Jan 2020, 20:32",41 km/h ,32 / 20 °C,20 °C,2020.01.19
235,"19 Jan 2020, 21:06:51",Sun Jan 19 15:36:51 2020, 1001 mbar,Australia, from Northeast,Warm.,9087b053-efb9-548b-a251-97c782ed86f4, N/A,26 °C, 13 °C," Weather in Echuca, Victoria, Australia",Bendigo Airport Aws,weather," 19 Jan 2020, 19:00",22 km/h ,24 / 17 °C,26 °C,2020.01.19
236,"19 Jan 2020, 21:06:51",Sun Jan 19 15:36:52 2020, 1002 mbar,Australia, from North,Hot.,6a0fb76a-a9cf-5ace-9c2a-4a1ce8edf5e3, N/A,32 °C, 14 °C," Weather in Moree, New South Wales, Australia",Moree Mo,weather," 19 Jan 2020, 20:00",13 km/h ,36 / 23 °C,31 °C,2020.01.19
237,"19 Jan 2020, 20:36:51",Sun Jan 19 15:36:52 2020, 1009 mbar,Australia, from South,Mild.,6ae9a52b-666f-5c19-a246-56e3b6bd085f, N/A,22 °C, 12 °C," Weather in Whyalla, South Australia, Australia",Whyalla Airport Aws,weather," 19 Jan 2020, 18:30",43 km/h ,22 / 18 °C,25 °C,2020.01.19
238,"19 Jan 2020, 21:06:51",Sun Jan 19 15:36:52 2020, 1004 mbar,Australia, from Southwest,Mild.,58fa4bc1-2c33-5366-a6f1-fa3f2606ad2e, N/A,22 °C, 12 °C," Weather in Mildura, Victoria, Australia",Mildura Airport,weather," 19 Jan 2020, 20:00",15 km/h ,27 / 16 °C,25 °C,2020.01.19
239,"19 Jan 2020, 07:06:51",Sun Jan 19 15:36:52 2020, 1010 mbar,Argentina, from North,Passing clouds.,62bad08b-c39c-5c5f-8267-0b2b7e019816, 10 km,21 °C, 18 °C," Weather in Córdoba, Córdoba, Argentina",Cordoba Aerodrome,weather," 19 Jan 2020, 06:00",11 km/h ,31 / 18 °C,21 °C,2020.01.19
240,"19 Jan 2020, 19:36:52",Sun Jan 19 15:36:52 2020, 1007 mbar,Australia, from Northwest,Partly sunny.,899496c8-cfb0-590c-bae5-d3bce8c88a04, N/A,29 °C, 25 °C," Weather in Darwin, Northern Territory, Australia",Darwin Airport,weather," 19 Jan 2020, 19:00",17 km/h ,31 / 28 °C,35 °C,2020.01.19
241,"19 Jan 2020, 21:06:52",Sun Jan 19 15:36:52 2020, 1004 mbar,Australia, from Northeast,Broken clouds.,69c9e306-9bfc-5de9-ae9c-5f9a0535efa0, N/A,20 °C, 14 °C," Weather in Melton, Victoria, Australia",Melbourne Airport,weather," 19 Jan 2020, 20:30",28 km/h ,19 / 15 °C,20 °C,2020.01.19
242,"19 Jan 2020, 20:06:52",Sun Jan 19 15:36:52 2020, 1008 mbar,Australia, from South,Lots of rain. Broken clouds.,183aca0d-b2e6-524c-af62-521f854283d4, 6 km,24 °C, 23 °C," Weather in Weipa, Queensland, Australia",Weipa City,weather," 19 Jan 2020, 19:22",15 km/h ,33 / 28 °C,23 °C,2020.01.19
243,"19 Jan 2020, 21:06:52",Sun Jan 19 15:36:52 2020, 1004 mbar,Australia, from Northeast,Broken clouds.,b081f75b-5b0d-5f44-8d95-f4d01f4bb0dc, N/A,20 °C, 14 °C," Weather in Melbourne, Victoria, Australia",Melbourne Airport,weather," 19 Jan 2020, 20:30",28 km/h ,20 / 17 °C,20 °C,2020.01.19
244,"19 Jan 2020, 21:06:52",Sun Jan 19 15:36:52 2020, 1005 mbar,Australia,na,Mild.,310f9f93-2fcd-5429-b7c9-d99e178a4ca2, N/A,24 °C, 19 °C," Weather in Darlinghurst, New South Wales, Australia",Sydney Regional Office,weather," 19 Jan 2020, 19:00",,26 / 20 °C,24 °C,2020.01.19
245,"19 Jan 2020, 21:06:52",Sun Jan 19 15:36:52 2020, 1004 mbar,Australia, from South,Mild.,86444b70-6f7b-5ccc-9330-108ab4388cd7, N/A,20 °C, 16 °C," Weather in Warrnambool, Victoria, Australia",Mortlake Aws,weather," 19 Jan 2020, 19:00",24 km/h ,17 / 14 °C,20 °C,2020.01.19
246,"19 Jan 2020, 19:36:52",Sun Jan 19 15:36:52 2020, 1002 mbar,Australia, from South,Extremely hot.,f03500b8-1053-5fbe-b6d0-91c35a1dfcce, N/A,35 °C, 11 °C," Weather in Curtin Springs, Northern Territory, Australia",Yulara Aws,weather," 19 Jan 2020, 18:30",20 km/h ,36 / 22 °C,33 °C,2020.01.19
247,"19 Jan 2020, 21:06:52",Sun Jan 19 15:36:52 2020, 1007 mbar,Australia, from Northeast,Mild.,409bd3d1-b0be-542c-bff7-c246c146e674, N/A,19 °C, 18 °C," Weather in Warragul, Victoria, Australia",Latrobe Valley Airport,weather," 19 Jan 2020, 19:00",17 km/h ,20 / 16 °C,19 °C,2020.01.19
248,"19 Jan 2020, 18:06:52",Sun Jan 19 15:36:52 2020, 1014 mbar,Australia, from Southwest,Mild.,f671d333-b957-50d5-958d-c5c5d46fcd65, N/A,24 °C, 14 °C," Weather in Mandurah, Western Australia, Australia",Mandurah Aws,weather," 19 Jan 2020, 17:00",24 km/h ,24 / 17 °C,25 °C,2020.01.19
249,"19 Jan 2020, 21:06:52",Sun Jan 19 15:36:52 2020, 1003 mbar,Australia, from Southwest,Broken clouds.,de42e03e-8d9f-548c-a7ae-a646e3dc260b, N/A,24 °C, 14 °C," Weather in Wagga Wagga, New South Wales, Australia",Wagga Airport,weather," 19 Jan 2020, 20:00",22 km/h ,25 / 17 °C,25 °C,2020.01.19
250,"19 Jan 2020, 21:06:52",Sun Jan 19 15:36:52 2020, 1009 mbar,Australia, from Southeast,Cool.,85f88690-223a-5bcc-8b4f-7f26bd20e126, N/A,15 °C, 15 °C," Weather in Currie, Tasmania, Australia",King Island Airport,weather," 19 Jan 2020, 20:00",20 km/h ,16 / 14 °C,14 °C,2020.01.19
251,"19 Jan 2020, 21:06:52",Sun Jan 19 15:36:52 2020, 1024 mbar,Australia, from North,Quite cool.,f180c35d-d326-51b5-97de-d649a2410d37, N/A,6 °C, 2 °C," Weather in Macquarie Island, Tasmania, Australia",Macquarie Island,weather," 19 Jan 2020, 20:00",19 km/h ,8 / 6 °C,2 °C,2020.01.19
252,"19 Jan 2020, 20:36:52",Sun Jan 19 15:36:52 2020, 1008 mbar,Australia, from South,Warm.,718d5561-eeb0-5134-bee9-cad4e2294707, N/A,28 °C, N/A," Weather in Coober Pedy, South Australia, Australia",Coober Pedy Aws,weather," 19 Jan 2020, 19:30",35 km/h ,29 / 15 °C,,2020.01.19
253,"19 Jan 2020, 20:06:52",Sun Jan 19 15:36:53 2020, 1004 mbar,Australia, from North,Warm.,9b8a0c0c-1503-505f-b63e-01f01d77467f, N/A,28 °C, 24 °C," Weather in Mackay, Queensland, Australia",Mackay Mo,weather," 19 Jan 2020, 19:00",9 km/h ,31 / 27 °C,33 °C,2020.01.19
254,"19 Jan 2020, 19:36:52",Sun Jan 19 15:36:53 2020, 1006 mbar ,Australia, from South,Scattered clouds.,8801d5af-3429-5949-bbe1-fb00d6cd68b1, N/A,35 °C, 11 °C," Weather in Uluru, Northern Territory, Australia",Ayers Rock,weather," 19 Jan 2020, 18:30",20 km/h ,36 / 22 °C,33 °C,2020.01.19
255,"19 Jan 2020, 21:06:52",Sun Jan 19 15:36:53 2020, 998 mbar,Australia, from Southeast,Pleasantly warm.,174bd644-03b5-566a-b67d-bf0016759117, N/A,30 °C, 14 °C," Weather in Cobar, New South Wales, Australia",Cobar,weather," 19 Jan 2020, 19:00",17 km/h ,31 / 19 °C,30 °C,2020.01.19
256,"19 Jan 2020, 21:06:52",Sun Jan 19 15:36:53 2020, 1005 mbar,Australia, from Northeast,Overcast.,494972ac-5bfd-5236-981a-f18d941cda2a, N/A,26 °C, 22 °C," Weather in Tweed Heads, New South Wales, Australia",Coolangatta Aws Airport,weather," 19 Jan 2020, 20:30",24 km/h ,29 / 24 °C,28 °C,2020.01.19
257,"19 Jan 2020, 21:06:53",Sun Jan 19 15:36:53 2020, 1012 mbar,Australia, from Northeast,Mild.,4ed7908a-cc21-5352-95d5-b1863cb577a2, N/A,24 °C, 22 °C," Weather in Lord Howe Island, Lord Howe Island, Australia",Lord Howe Island,weather," 19 Jan 2020, 20:00",33 km/h ,25 / 24 °C,23 °C,2020.01.19
258,"19 Jan 2020, 20:06:53",Sun Jan 19 15:36:53 2020, 1000 mbar,Australia, from Southwest,Partly sunny.,87cbec57-bfe5-57f1-b3f1-feefaea9c9cc, 15 km,40 °C, 16 °C," Weather in Charters Towers, Queensland, Australia",Charters Towers Airport,weather," 19 Jan 2020, 15:00",4 km/h ,37 / 25 °C,41 °C,2020.01.19
259,"19 Jan 2020, 21:06:53",Sun Jan 19 15:36:53 2020, 1007 mbar,Australia, from Northeast,Mild.,66e855ad-f293-5f4a-a8ee-80082ed2b745, N/A,19 °C, 18 °C," Weather in Traralgon, Victoria, Australia",Latrobe Valley Airport,weather," 19 Jan 2020, 19:00",17 km/h ,20 / 17 °C,19 °C,2020.01.19
